"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2023","16,303.3","16,382.1","16,413.6","16,284.0","","-0.42%"
"09/22/2023","16,372.1","16,389.8","16,421.3","16,329.6","","-0.06%"
"09/21/2023","16,381.3","16,395.1","16,412.8","16,335.2","","-0.04%"
"09/20/2023","16,388.2","16,428.9","16,515.0","16,378.9","","-0.17%"
"09/19/2023","16,415.9","16,425.9","16,485.1","16,414.8","","-0.06%"
"09/18/2023","16,425.2","16,370.4","16,445.1","16,366.5","","0.43%"
"09/15/2023","16,355.4","16,336.2","16,410.3","16,326.2","","0.13%"
"09/14/2023","16,333.9","16,490.5","16,513.5","16,323.9","","-0.91%"
"09/13/2023","16,483.6","16,496.6","16,541.2","16,463.6","","-0.04%"
"09/12/2023","16,489.7","16,475.9","16,514.3","16,421.5","","0.14%"
"09/11/2023","16,465.9","16,421.5","16,489.7","16,409.2","","0.46%"
"09/08/2023","16,390.9","16,392.4","16,465.9","16,387.8","","0.00%"
"09/07/2023","16,390.9","16,402.7","16,456.3","16,376.3","","-0.07%"
"09/06/2023","16,401.6","16,367.1","16,458.6","16,305.9","","0.20%"
"09/05/2023","16,369.4","16,453.1","16,468.1","16,343.5","","-0.43%"
"09/04/2023","16,440.1","16,424.9","16,478.7","16,415.8","","0.17%"
"09/01/2023","16,412.7","16,509.3","16,584.9","16,415.0","","-0.56%"
"08/31/2023","16,505.4","16,651.2","16,673.3","16,500.9","","-0.82%"
"08/30/2023","16,642.7","16,602.1","16,682.5","16,534.8","","0.29%"
"08/29/2023","16,594.4","16,534.6","16,622.0","16,452.6","","0.37%"
"08/28/2023","16,533.8","16,520.1","16,557.4","16,507.9","","0.12%"
"08/25/2023","16,513.2","16,479.8","16,583.6","16,444.8","","0.24%"
"08/24/2023","16,472.9","16,615.0","16,634.8","16,471.5","","-0.79%"
"08/23/2023","16,603.4","16,613.7","16,646.8","16,520.9","","0.01%"
"08/22/2023","16,602.2","16,693.5","16,753.3","16,590.0","","-0.50%"
"08/21/2023","16,685.0","16,627.0","16,726.5","16,613.3","","0.48%"
"08/18/2023","16,604.8","16,615.1","16,689.1","16,575.8","","-0.04%"
"08/17/2023","16,610.9","16,621.2","16,687.0","16,589.9","","-0.07%"
"08/16/2023","16,623.1","16,731.3","16,739.8","16,613.6","","-0.59%"
"08/15/2023","16,721.3","16,702.5","16,802.7","16,692.6","","0.16%"
"08/14/2023","16,694.0","16,665.0","16,786.0","16,630.8","","0.29%"
"08/11/2023","16,645.8","16,674.7","16,747.0","16,649.0","","-0.12%"
"08/10/2023","16,666.1","16,671.6","16,803.0","16,658.7","","-0.01%"
"08/09/2023","16,668.0","16,672.3","16,703.5","16,650.3","","0.01%"
"08/08/2023","16,666.5","16,707.3","16,763.8","16,630.4","","-0.22%"
"08/07/2023","16,704.1","16,714.3","16,722.5","16,650.3","","0.04%"
"08/04/2023","16,696.7","16,621.5","16,751.5","16,587.6","","0.50%"
"08/03/2023","16,613.0","16,597.7","16,648.1","16,569.1","","0.14%"
"08/02/2023","16,589.9","16,600.8","16,703.1","16,567.3","","-0.02%"
"08/01/2023","16,593.8","16,580.5","16,633.1","16,486.4","","0.10%"
"07/31/2023","16,576.5","16,638.7","16,658.9","16,577.4","","-0.27%"
"07/28/2023","16,621.6","16,467.0","16,676.4","16,460.3","","1.02%"
"07/27/2023","16,454.0","16,640.9","16,725.8","16,448.3","","-1.12%"
"07/26/2023","16,641.1","16,571.2","16,680.7","16,520.3","","0.44%"
"07/25/2023","16,568.4","16,622.4","16,641.2","16,522.5","","-0.28%"
"07/24/2023","16,615.1","16,718.3","16,747.4","16,614.1","","-0.53%"
"07/21/2023","16,703.7","16,685.6","16,752.2","16,680.3","","0.17%"
"07/20/2023","16,675.3","16,794.4","16,843.5","16,663.1","","-0.66%"
"07/19/2023","16,785.8","16,834.9","16,855.1","16,755.4","","-0.25%"
"07/18/2023","16,827.8","16,859.6","16,911.9","16,807.1","","-0.16%"
"07/17/2023","16,855.5","16,804.8","16,881.7","16,775.6","","0.39%"
"07/14/2023","16,790.0","16,803.3","16,820.5","16,749.0","","-0.04%"
"07/13/2023","16,796.7","16,782.8","16,806.3","16,652.5","","0.13%"
"07/12/2023","16,775.5","16,666.9","16,797.8","16,598.8","","0.71%"
"07/11/2023","16,657.6","16,714.7","16,734.5","16,618.4","","-0.30%"
"07/10/2023","16,707.5","16,604.6","16,717.8","16,582.7","","0.69%"
"07/07/2023","16,593.1","16,379.7","16,609.9","16,371.4","","1.34%"
"07/06/2023","16,374.0","16,295.8","16,400.0","16,280.0","","0.52%"
"07/05/2023","16,288.8","16,309.6","16,380.8","16,292.0","","-0.10%"
"07/04/2023","16,304.6","16,395.3","16,415.8","16,306.6","","-0.50%"
"07/03/2023","16,386.8","16,357.6","16,429.1","16,332.2","","0.20%"
"06/30/2023","16,354.1","16,287.9","16,390.6","16,243.6","","0.42%"
"06/29/2023","16,285.1","16,361.3","16,404.8","16,281.1","","-0.43%"
"06/28/2023","16,355.6","16,433.3","16,437.0","16,336.6","","-0.44%"
"06/27/2023","16,427.5","16,381.4","16,458.0","16,365.8","","0.37%"
"06/26/2023","16,366.9","16,338.2","16,404.6","16,333.0","","0.27%"
"06/23/2023","16,322.6","16,369.8","16,417.7","16,258.0","","-0.25%"
"06/22/2023","16,362.8","16,419.3","16,451.9","16,356.3","","-0.29%"
"06/21/2023","16,410.1","16,377.0","16,426.8","16,271.0","","0.26%"
"06/20/2023","16,367.0","16,378.5","16,450.4","16,338.0","","-0.02%"
"06/19/2023","16,370.6","16,341.9","16,405.5","16,326.9","","0.26%"
"06/16/2023","16,328.9","16,356.6","16,385.2","16,305.3","","-0.12%"
"06/15/2023","16,348.8","16,134.0","16,370.0","16,103.5","","1.34%"
"06/14/2023","16,132.8","16,036.9","16,185.4","16,026.5","","0.64%"
"06/13/2023","16,030.0","15,984.6","16,085.2","15,983.9","","0.28%"
"06/12/2023","15,984.9","15,954.5","16,038.1","15,931.5","","0.26%"
"06/09/2023","15,943.2","16,059.8","16,096.3","15,941.9","","-0.68%"
"06/08/2023","16,052.9","15,917.4","16,068.0","15,912.2","","0.89%"
"06/07/2023","15,911.8","15,889.1","15,979.2","15,876.8","","0.17%"
"06/06/2023","15,884.5","15,953.1","15,958.4","15,850.4","","-0.38%"
"06/05/2023","15,944.8","16,057.3","16,060.3","15,893.6","","-0.61%"
"06/02/2023","16,042.9","16,133.7","16,158.5","16,046.0","","-0.50%"
"06/01/2023","16,123.9","16,024.3","16,142.7","15,980.8","","0.67%"
"05/31/2023","16,016.0","16,087.9","16,090.5","15,941.1","","-0.39%"
